,id,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_identity_verified,neighbourhood_cleansed,latitude,longitude,room_type,accommodates,bathrooms,bedrooms,price,has_availability,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,reviews_per_month,total_beds,price_per_person
29,833289,within a few hours,67.0,,No,Yes,Bukit Merah,1.27716,103.82299,Private room,2,1.0,1.0,150.0,Yes,2,0,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,No,0.03,2.0,75.0
30,881683,a few days or more,0.0,0.0,No,Yes,Hougang,1.36971,103.89938,Private room,1,1.0,1.0,47.0,Yes,10,0,0,4.6,4.8,3.7,4.7,4.9,4.6,4.5,No,0.09,2.0,47.0
31,982909,within a few hours,100.0,,Yes,Yes,Novena,1.33389,103.83454,Entire home/apt,1,1.0,1.0,120.0,Yes,247,0,0,4.87,4.92,4.91,4.94,4.92,4.79,4.81,No,2.32,1.0,120.0
32,1024986,within a few hours,100.0,67.0,Yes,Yes,River Valley,1.29245,103.83742,Entire home/apt,2,1.0,1.0,200.0,Yes,255,43,3,4.84,4.89,4.77,4.93,4.95,4.84,4.73,No,2.57,1.0,100.0
33,1142414,within an hour,100.0,97.0,No,Yes,Kallang,1.31189,103.85901,Private room,1,1.0,1.0,59.0,Yes,2,0,0,3.0,2.5,3.0,4.0,4.5,4.5,3.0,No,0.03,1.0,59.0
34,1210268,within an hour,100.0,100.0,Yes,Yes,Tanglin,1.31633,103.827194,Entire home/apt,5,3.0,3.0,400.0,Yes,45,1,0,4.42,4.68,4.64,4.86,4.91,4.52,4.52,Yes,0.46,12.0,80.0
35,1229614,within an hour,100.0,100.0,Yes,Yes,Tanglin,1.31562,103.82807,Entire home/apt,2,1.0,1.0,290.0,Yes,39,4,1,4.79,4.79,4.77,4.89,4.82,4.71,4.53,Yes,0.4,1.0,145.0
36,1233249,within an hour,100.0,100.0,Yes,Yes,Tanglin,1.3171326116412143,103.8264980111344,Entire home/apt,3,2.5,2.0,284.0,Yes,36,3,0,4.58,4.66,4.61,4.78,4.81,4.69,4.33,Yes,0.37,4.0,94.66666666666667
37,1244654,within an hour,100.0,97.0,No,Yes,Outram,1.2838,103.84265,Private room,1,1.0,1.0,69.0,Yes,4,0,0,4.5,4.75,4.0,4.75,5.0,5.0,4.75,No,0.06,1.0,69.0
38,1261443,within an hour,100.0,97.0,No,Yes,Outram,1.28458,103.84311,Private room,1,1.0,1.0,55.0,Yes,3,0,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,No,0.05,1.0,55.0
